순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,BB,HBP,SO,GDP,E
1,이정후,키움,0.340,884,3947,3476,581,1181,244,43,65,1706,515,69,383,39,304,64,19
2,장효조,롯데,0.330,964,3632,3050,485,1008,156,36,54,1398,437,110,506,27,289,31,11
3,* 박건우,NC,0.328,1237,4805,4251,753,1393,287,24,118,2082,662,94,405,82,640,122,22
4,* 손아섭,NC,0.321,2046,8845,7806,1359,2507,440,34,181,3558,1034,232,922,40,1267,120,60
5,* 박민우,NC,0.320,1221,5086,4399,819,1409,226,56,35,1852,457,264,479,111,638,82,101
6,김태균,한화,0.320,2015,8225,6900,1024,2209,399,8,311,3557,1358,28,1141,108,1384,228,66
7,양준혁,삼성,0.316,2135,8807,7332,1299,2318,458,25,351,3879,1389,193,1278,102,910,166,53
8,* 구자욱,삼성,0.315,1154,5064,4495,835,1416,283,56,150,2261,730,131,449,62,882,45,40
9,* 김현수,LG,0.314,2019,8578,7404,1168,2325,426,29,248,3553,1406,67,996,66,866,151,36
10,* 나성범,KIA,0.314,1328,5862,5217,977,1636,331,30,260,2807,1016,100,478,120,1280,69,41
11,데이비스,한화,0.313,836,3552,3130,538,979,175,6,167,1667,591,108,353,25,606,80,32
12,* 강백호,KT,0.311,734,3162,2761,462,860,176,6,113,1387,468,36,364,12,550,39,45
13,* 최형우,KIA,0.311,2135,9042,7723,1270,2404,508,18,388,4112,1611,28,1109,111,1364,181,29
14,이병규,LG,0.311,1741,7247,6571,992,2043,371,38,161,2973,972,147,526,66,838,151,29
15,이대호,롯데,0.309,1971,8128,7118,972,2199,331,6,374,3664,1425,11,745,180,1025,239,107
16,* 양의지,두산,0.309,1781,6661,5729,846,1769,319,10,253,2867,1068,56,643,167,723,196,71
17,김동주,두산,0.309,1625,6592,5540,851,1710,293,12,273,2846,1097,48,814,147,794,186,109
18,박용택,LG,0.308,2237,9138,8139,1259,2504,441,44,213,3672,1192,313,793,74,1392,177,18
19,* 이명기,한화,0.305,1037,4083,3624,574,1104,166,28,28,1410,327,108,324,35,556,53,26
20,이진영,KT,0.305,2160,7881,6976,979,2125,367,33,169,3065,979,112,745,39,906,142,42
21,* 김선빈,KIA,0.304,1568,5962,5166,718,1568,244,13,37,1949,590,152,579,48,511,137,140
22,* 김혜성,키움,0.303,892,3550,3186,550,966,138,37,36,1286,351,199,307,17,587,43,112
23,* 고종욱,KIA,0.303,1054,3365,3151,480,954,163,36,47,1330,397,128,169,17,659,54,20
24,이택근,키움,0.302,1651,6183,5361,851,1621,299,12,136,2352,773,175,591,106,726,141,52
25,이승엽,삼성,0.302,1906,8270,7132,1355,2156,464,28,467,4077,1498,57,953,102,1344,120,46
26,유한준,KT,0.302,1650,6057,5316,717,1606,284,6,151,2355,883,35,594,45,728,153,16
27,정근우,LG,0.302,1747,7157,6219,1072,1877,319,34,121,2627,722,371,665,102,731,142,173
28,홍성흔,두산,0.301,1957,7637,6789,872,2046,323,12,208,3017,1120,85,645,78,1018,230,60
29,* 전준우,롯데,0.300,1656,6951,6198,1016,1862,371,24,203,2890,919,136,567,89,1028,171,42
30,김주찬,KIA,0.300,1778,6956,6297,1025,1887,361,54,138,2770,782,388,401,105,963,131,75
